Date,Campaign Name,Ad Set Name,Ad Name,Impressions,Clicks,Spend,Conversions,Revenue,Leads,Purchases,Platform
"2026-04-01","Brand Search - Always On","Primary audience","Video Hook A","7268","400","300.00","46","2821.50","13","33","Google Ads"
"2026-04-01","Prospecting Broad - High Spend","Interest stack","Video Hook A","13680","123","455.10","0","0.00","0","0","Meta Ads"
"2026-04-01","TikTok Creator Hooks","Interest stack","Video Hook A","7695","35","77.00","1","52.20","0","1","TikTok Ads"
"2026-04-01","LinkedIn B2B Leads","Primary audience","Video Hook A","10260","195","1657.50","5","468.00","1","4","LinkedIn Ads"
"2026-04-01","Retargeting Purchasers","Interest stack","Video Hook A","5985","198","247.50","28","1476.00","8","20","Meta Ads"
"2026-04-01","Snapchat Cold Traffic","Interest stack","Video Hook A","5558","67","194.30","0","0.00","0","0","Snapchat Ads"
"2026-04-01","Shopping Feed - Improving","Interest stack","Video Hook A","9405","160","264.00","4","237.60","1","3","Google Ads"
"2026-04-01","Summer Sale - Declining","Interest stack","Video Hook A","8978","287","373.10","22","1065.60","6","16","Meta Ads"
"2026-04-02","Brand Search - Always On","Primary audience","Static Offer B","7706","424","318.00","49","3158.75","14","35","Google Ads"
"2026-04-02","Prospecting Broad - High Spend","Lookalike audience","Static Offer B","14475","130","481.00","0","0.00","0","0","Meta Ads"
"2026-04-02","TikTok Creator Hooks","Lookalike audience","Static Offer B","8158","37","81.40","1","55.10","0","1","TikTok Ads"
"2026-04-02","LinkedIn B2B Leads","Primary audience","Static Offer B","10865","206","1751.00","6","494.00","2","4","LinkedIn Ads"
"2026-04-02","Retargeting Purchasers","Lookalike audience","Static Offer B","6353","210","262.50","29","1635.90","8","21","Meta Ads"
"2026-04-02","Snapchat Cold Traffic","Lookalike audience","Static Offer B","5901","71","205.90","0","0.00","0","0","Snapchat Ads"
"2026-04-02","Shopping Feed - Improving","Lookalike audience","Static Offer B","9963","177","279.47","5","334.40","1","4","Google Ads"
"2026-04-02","Summer Sale - Declining","Lookalike audience","Static Offer B","9511","294","396.06","21","1054.50","6","15","Meta Ads"
"2026-04-03","Brand Search - Always On","Primary audience","UGC Test C","8149","448","336.00","52","3515.00","15","37","Google Ads"
"2026-04-03","Prospecting Broad - High Spend","Interest stack","UGC Test C","15274","137","506.90","0","0.00","0","0","Meta Ads"
"2026-04-03","TikTok Creator Hooks","Interest stack","UGC Test C","8624","39","85.80","1","58.00","0","1","TikTok Ads"
"2026-04-03","LinkedIn B2B Leads","Primary audience","UGC Test C","11474","218","1853.00","6","520.00","2","4","LinkedIn Ads"
"2026-04-03","Retargeting Purchasers","Interest stack","UGC Test C","6724","222","277.50","31","1804.00","9","22","Meta Ads"
"2026-04-03","Snapchat Cold Traffic","Interest stack","UGC Test C","6249","75","217.50","0","0.00","0","0","Snapchat Ads"
"2026-04-03","Shopping Feed - Improving","Interest stack","UGC Test C","10524","195","295.18","6","352.00","2","4","Google Ads"
"2026-04-03","Summer Sale - Declining","Interest stack","UGC Test C","10049","299","417.96","21","1110.00","6","15","Meta Ads"
"2026-04-04","Brand Search - Always On","Primary audience","Video Hook A","8595","473","354.75","54","3890.25","15","39","Google Ads"
"2026-04-04","Prospecting Broad - High Spend","Lookalike audience","Video Hook A","16077","145","536.50","0","0.00","0","0","Meta Ads"
"2026-04-04","TikTok Creator Hooks","Lookalike audience","Video Hook A","9094","41","90.20","1","60.90","0","1","TikTok Ads"
"2026-04-04","LinkedIn B2B Leads","Primary audience","Video Hook A","12087","230","1955.00","6","546.00","2","4","LinkedIn Ads"
"2026-04-04","Retargeting Purchasers","Lookalike audience","Video Hook A","7099","234","292.50","33","2066.40","9","24","Meta Ads"
"2026-04-04","Snapchat Cold Traffic","Lookalike audience","Video Hook A","6600","79","229.10","0","0.00","0","0","Snapchat Ads"
"2026-04-04","Shopping Feed - Improving","Lookalike audience","Video Hook A","11089","214","311.10","6","369.60","2","4","Google Ads"
"2026-04-04","Summer Sale - Declining","Lookalike audience","Video Hook A","10590","303","440.11","20","1087.80","6","14","Meta Ads"
"2026-04-05","Brand Search - Always On","Primary audience","Static Offer B","7401","407","305.25","47","3553.00","13","34","Google Ads"
"2026-04-05","Prospecting Broad - High Spend","Interest stack","Static Offer B","13813","124","458.80","0","0.00","0","0","Meta Ads"
"2026-04-05","TikTok Creator Hooks","Interest stack","Static Offer B","7828","35","77.00","1","63.80","0","1","TikTok Ads"
"2026-04-05","LinkedIn B2B Leads","Primary audience","Static Offer B","10393","197","1674.50","6","572.00","2","4","LinkedIn Ads"
"2026-04-05","Retargeting Purchasers","Interest stack","Static Offer B","6118","202","252.50","28","1804.00","8","20","Meta Ads"
"2026-04-05","Snapchat Cold Traffic","Interest stack","Static Offer B","5691","68","197.20","0","0.00","0","0","Snapchat Ads"
"2026-04-05","Shopping Feed - Improving","Interest stack","Static Offer B","9538","191","267.08","6","387.20","2","4","Google Ads"
"2026-04-05","Summer Sale - Declining","Interest stack","Static Offer B","9111","251","379.42","16","976.80","4","12","Meta Ads"
"2026-04-06","Brand Search - Always On","Primary audience","UGC Test C","7847","432","324.00","50","3078.00","14","36","Google Ads"
"2026-04-06","Prospecting Broad - High Spend","Lookalike audience","UGC Test C","14616","132","488.40","0","0.00","0","0","Meta Ads"
"2026-04-06","TikTok Creator Hooks","Lookalike audience","UGC Test C","8298","37","81.40","1","52.20","0","1","TikTok Ads"
"2026-04-06","LinkedIn B2B Leads","Primary audience","UGC Test C","11006","209","1776.50","6","468.00","2","4","LinkedIn Ads"
"2026-04-06","Retargeting Purchasers","Lookalike audience","UGC Test C","6493","214","267.50","30","1623.60","8","22","Meta Ads"
"2026-04-06","Snapchat Cold Traffic","Lookalike audience","UGC Test C","6042","73","211.70","0","0.00","0","0","Snapchat Ads"
"2026-04-06","Shopping Feed - Improving","Lookalike audience","UGC Test C","10103","210","282.86","7","396.00","2","5","Google Ads"
"2026-04-06","Summer Sale - Declining","Lookalike audience","UGC Test C","9652","255","401.82","16","799.20","4","12","Meta Ads"
"2026-04-07","Brand Search - Always On","Primary audience","Video Hook A","8297","456","342.00","52","3339.25","15","37","Google Ads"
"2026-04-07","Prospecting Broad - High Spend","Interest stack","Video Hook A","15422","139","514.30","0","0.00","0","0","Meta Ads"
"2026-04-07","TikTok Creator Hooks","Interest stack","Video Hook A","8772","39","85.80","1","55.10","0","1","TikTok Ads"
"2026-04-07","LinkedIn B2B Leads","Primary audience","Video Hook A","11622","221","1878.50","6","494.00","2","4","LinkedIn Ads"
"2026-04-07","Retargeting Purchasers","Interest stack","Video Hook A","6872","227","283.75","32","1791.70","9","23","Meta Ads"
"2026-04-07","Snapchat Cold Traffic","Interest stack","Video Hook A","6397","77","223.30","0","0.00","0","0","Snapchat Ads"
"2026-04-07","Shopping Feed - Improving","Interest stack","Video Hook A","10672","230","298.82","8","501.60","2","6","Google Ads"
"2026-04-07","Summer Sale - Declining","Interest stack","Video Hook A","10197","258","424.56","15","773.30","4","11","Meta Ads"
"2026-04-08","Brand Search - Always On","Primary audience","Static Offer B","8751","481","360.75","55","3800.00","15","40","Google Ads"
"2026-04-08","Prospecting Broad - High Spend","Lookalike audience","Static Offer B","16232","146","540.20","0","0.00","0","0","Meta Ads"
"2026-04-08","TikTok Creator Hooks","Lookalike audience","Static Offer B","9249","42","92.40","1","58.00","0","1","TikTok Ads"
"2026-04-08","LinkedIn B2B Leads","Primary audience","Static Offer B","12242","233","1980.50","7","650.00","2","5","LinkedIn Ads"
"2026-04-08","Retargeting Purchasers","Lookalike audience","Static Offer B","7254","239","298.75","33","1968.00","9","24","Meta Ads"
"2026-04-08","Snapchat Cold Traffic","Lookalike audience","Static Offer B","6756","81","234.90","0","0.00","0","0","Snapchat Ads"
"2026-04-08","Shopping Feed - Improving","Lookalike audience","Static Offer B","11244","251","314.94","9","528.00","3","6","Google Ads"
"2026-04-08","Summer Sale - Declining","Lookalike audience","Static Offer B","10746","260","447.68","15","814.00","4","11","Meta Ads"
"2026-04-09","Brand Search - Always On","Primary audience","UGC Test C","7534","414","310.50","48","3491.25","13","35","Google Ads"
"2026-04-09","Prospecting Broad - High Spend","Interest stack","UGC Test C","13946","126","466.20","0","0.00","0","0","Meta Ads"
"2026-04-09","TikTok Creator Hooks","Interest stack","UGC Test C","7961","36","79.20","1","60.90","0","1","TikTok Ads"
"2026-04-09","LinkedIn B2B Leads","Primary audience","UGC Test C","10526","200","1700.00","6","546.00","2","4","LinkedIn Ads"
"2026-04-09","Retargeting Purchasers","Interest stack","UGC Test C","6251","206","257.50","29","1808.10","8","21","Meta Ads"
"2026-04-09","Snapchat Cold Traffic","Interest stack","UGC Test C","5824","70","203.00","0","0.00","0","0","Snapchat Ads"
"2026-04-09","Shopping Feed - Improving","Interest stack","UGC Test C","9671","224","271.76","8","554.40","2","6","Google Ads"
"2026-04-09","Summer Sale - Declining","Interest stack","UGC Test C","9244","213","384.58","12","699.30","3","9","Meta Ads"
"2026-04-10","Brand Search - Always On","Primary audience","Video Hook A","7988","439","329.25","50","3762.00","14","36","Google Ads"
"2026-04-10","Prospecting Broad - High Spend","Lookalike audience","Video Hook A","14756","133","492.10","0","0.00","0","0","Meta Ads"
"2026-04-10","TikTok Creator Hooks","Lookalike audience","Video Hook A","8439","38","83.60","1","63.80","0","1","TikTok Ads"
"2026-04-10","LinkedIn B2B Leads","Primary audience","Video Hook A","11146","212","1802.00","6","572.00","2","4","LinkedIn Ads"
"2026-04-10","Retargeting Purchasers","Lookalike audience","Video Hook A","6634","219","273.75","31","1984.40","9","22","Meta Ads"
"2026-04-10","Snapchat Cold Traffic","Lookalike audience","Video Hook A","6183","74","214.60","0","0.00","0","0","Snapchat Ads"
"2026-04-10","Shopping Feed - Improving","Lookalike audience","Video Hook A","10244","245","287.72","9","580.80","3","6","Google Ads"
"2026-04-10","Summer Sale - Declining","Lookalike audience","Video Hook A","9793","215","408.03","11","651.20","3","8","Meta Ads"
"2026-04-11","Brand Search - Always On","Primary audience","Static Offer B","8445","464","348.00","53","3249.00","15","38","Google Ads"
"2026-04-11","Prospecting Broad - High Spend","Interest stack","Static Offer B","15570","140","518.00","0","0.00","0","0","Meta Ads"
"2026-04-11","TikTok Creator Hooks","Interest stack","Static Offer B","8920","40","88.00","1","52.20","0","1","TikTok Ads"
"2026-04-11","LinkedIn B2B Leads","Primary audience","Static Offer B","11770","224","1904.00","6","468.00","2","4","LinkedIn Ads"
